id,name,filename,duration,kind
1,Усталость,icon_buff_debuff.dds,10000,2
2,Смертельный танец,icon_skill_vocation04.dds,100,1
7,На земле,icon_skill_buff01.dds,2500,2
11,Улучшенное сопротивление,icon_skill_buff17.dds,180000,1
13,Удар метеора,icon_skill_buff01.dds,3000,2
15,Молитва о защите,icon_unknown_item.dds,600000,1
18,Прорыв,icon_skill_buff01.dds,2500,2
21,На земле,icon_skill_buff01.dds,2500,2
26,Кошачьи инстинкты,icon_skill_buff113.dds,15000,1
31,Спасительное слово,icon_unknown_item.dds,9000,1
34,Защита реликвии,icon_unknown_item.dds,0,1
35,Разлом измерений,icon_unknown_item.dds,60000,1
36,Визг баньши,icon_buff_debuff.dds,30000,2
37,Сжатие времени,icon_unknown_item.dds,250000,1
39,Горящий дом,icon_unknown_item.dds,99999999,2
40,Исцеляющий круг,icon_unknown_item.dds,60000,1
41,Исцеляющий круг,icon_unknown_item.dds,30000,1
43,Стальной капкан,icon_buff_debuff.dds,6000,2
48,Разрыв сухожилий II,icon_unknown_item.dds,10000,2
49,Кровотечение,icon_skill_buff67.dds,8000,2
50,Восстановление,icon_buff_buff.dds,15000,1
51,Угасание жизни,icon_unknown_item.dds,15000,2
53,Второе дыхание I,icon_skill_buff32.dds,1800000,1
54,Бросок хищника,icon_buff_debuff.dds,2000,1
56,Исцеляющий круг,icon_unknown_item.dds,0,1
59,Исцеляющий круг,icon_unknown_item.dds,60000,1
63,Удар молотом,icon_buff_debuff.dds,2000,2
68,Аура смерти,icon_buff_debuff.dds,30000,2
69,Эхо защиты I,unknown_item.dds,60000,1
70,Походный марш,icon_skill_buff78.dds,60000,1
71,Быстрая регенерация,icon_buff_buff.dds,10000,1
74,Зловещий яд I,unknown_item.dds,9000,2
75,Нервный паралич I,icon_buff_debuff.dds,12000,2
76,Терпение I,unknown_item.dds,6000,1
77,Удар в уязвимое место III,icon_buff_debuff.dds,21000,2
78,Погружение в сон I,icon_buff_debuff.dds,6000,2
79,Завеса света II,unknown_item.dds,30000,1
81,Ледяной клинок I,unknown_item.dds,6000,2
82,Хватка земли,icon_skill_buff15.dds,11900,2
84,Кража чар,icon_skill_buff20.dds,5000,2
87,Пронзающие копья,icon_skill_buff124.dds,1500,2
90,Защита стихий II,icon_unknown_item.dds,1800000,1
92,Ледяной клинок II,unknown_item.dds,6000,2
93,Стена льда,icon_skill_buff65.dds,4000,2
94,Оковы льда,icon_skill_buff62.dds,700,2
95,Магический щит I,icon_skill_buff58.dds,0,1
96,Сфера,icon_skill_buff18.dds,8800,2
97,Сфера II,unknown_item.dds,18000,2
100,Ода мудрости I,icon_skill_buff77.dds,1800000,1
101,Сокрушение разума,icon_skill_buff21.dds,5000,2
102,Песок в глазах,icon_buff_debuff.dds,2000,2
104,Сломленный дух II,unknown_item.dds,30000,2
105,Сломленный дух III,unknown_item.dds,30000,2
106,Закаленная сталь I,unknown_item.dds,120000,1
108,Легкость перышка,icon_buff_buff.dds,0,1
109,Сила разума I,unknown_item.dds,1800000,1
110,Сокращение дистанции I,icon_unknown_item.dds,300000,2
111,Растерянность II,unknown_item.dds,9000,2
112,Сила разума II,unknown_item.dds,1800000,1
113,Закаленная сталь II,unknown_item.dds,120000,1
114,Внушение усталости,icon_skill_buff23.dds,3000,2
115,Время боли I,unknown_item.dds,12000,2
116,Безобидный вид,icon_buff_debuff.dds,30000,2
118,Крепкая броня I,icon_unknown_item.dds,300000,1
121,Оковы смерти,icon_skill_death11.dds,4500,2
122,Дар Хозяина леса,icon_skill_buff87.dds,600000,1
125,Чудесное исцеление I,unknown_item.dds,30000,1
126,Блокирование,unknown_item.dds,3000,1
127,Заряд духа,icon_skill_buff43.dds,15000,1
128,Взрывная волна,icon_skill_buff10.dds,1500,2
129,Раскол брони I,unknown_item.dds,30000,2
131,Неуязвимость,icon_skill_streak16.dds,12000,1
135,Охотничий азарт I,unknown_item.dds,12000,1
138,На земле,icon_skill_buff01.dds,2000,2
139,Шаг I,unknown_item.dds,2000,2
141,На земле,icon_skill_buff01.dds,2500,2
142,Стойка уклонения,unknown_item.dds,0,1
143,Усиление атаки,icon_skill_buff11.dds,45000,1
146,Отравление,icon_skill_buff14.dds,9000,2
149,Крепкая броня II,unknown_item.dds,300000,1
150,Крепкая броня III,unknown_item.dds,300000,1
151,Раскол брони II,unknown_item.dds,30000,2
156,Ужас,icon_skill_buff119.dds,2300,2
157,Демоническая помощь,unknown_item.dds,60000,1
158,Дух дельфина,unknown_item.dds,30000,1
160,Временная защита,unknown_item.dds,12000,1
161,Улучшенное уклонение I,unknown_item.dds,12000,1
166,Воспламенение,unknown_item.dds,15000,2
167,Отражающие доспехи,unknown_item.dds,15000,1
168,Свободное парение,icon_buff_debuff.dds,100,2
169,Сумерки,icon_skill_love13.dds,0,1
